organization, repository, is_fork, language, stars, forks, created_at, description
cucumbertown, punjab, 1, Python, 1, 0, 2011-10-16T08:20:39Z, BOSH connection manager
cucumbertown, django-gearman, 1, Python, 1, 0, 2012-02-05T18:46:38Z, A convenience wrapper for Gearman clients and workers in Django/Python. Designed and tested against Gearman 1.14.
cucumbertown, timing, 1, JavaScript, 1, 0, 2012-03-14T13:13:07Z, Visual presentation of Navigation Timing API performance object
cucumbertown, git-commit-notifier, 1, Ruby, 1, 0, 2012-07-30T02:34:07Z, Sends HTML email commit messages splitting commits that were pushed in one step. Changes are highlighted per word.
cucumbertown, django-haystack, 1, Python, 0, 0, 2012-08-24T09:34:00Z, Modular search for Django. Currently v2.0.0-beta.
exotel, rest-client, 1, Ruby, 1, 0, 2012-05-20T02:41:31Z, Simple HTTP and REST client for Ruby. inspired by microframework syntax for specifying actions.
exotel, exotel-music, 0, JavaScript, 2, 0, 2013-03-06T06:33:27Z, A browser based hack that generates music for your mobile number
exotel, tax-invoice-template, 0, PHP, 4, 2, 2013-04-11T05:29:03Z, Tax invoice sample for India
exotel, km-db, 1, Ruby, 0, 0, 2013-06-24T16:03:19Z, Manipulate KISSmetrics data dumps
exotel, dashing, 1, JavaScript, 0, 1, 2013-07-10T14:45:26Z, The exceptionally handsome dashboard framework in Ruby and Coffeescript.
exotel, ExotelAPI, 1, Java, 3, 5, 2013-07-22T09:17:05Z, Exotel's Call and SMS API sample code
exotel, ivr-audio-prompts, 0, None, 1, 2, 2013-10-07T05:12:10Z, Open Source and Free IVR Audio Prompts for various scenarios
flipkart, padrino-rpm, 1, Ruby, 1, 0, 2012-03-12T07:24:20Z, New Relic Instrumentations for the Padrino framework
flipkart, decimal-money, 1, Ruby, 2, 1, 2012-04-12T13:09:23Z, Library for dealing with money and currency conversion
flipkart, RestExpress, 1, Java, 1, 4, 2012-06-20T18:31:04Z, RestExpress is the easiest way to create RESTful web services in Java.  An extremely Lightweight Fast REST Engine and API for Java.  Supports JSON and XML serialization automagically as well as ISO 8601 date formats.  A thin wrapper on Netty IO HTTP handling RestExpress lets you create performant stand-alone REST web services rapidly. Works expressly well with Syntaxe RepoExpress and OAuthExpress.
flipkart, sbt-scct, 1, Scala, 1, 0, 2012-08-01T11:10:40Z, sbt integration to scct
flipkart, speed, 0, Scala, 2, 1, 2012-08-06T03:36:55Z, Fault tolerant distributed in memory filesystem based on Membase
flipkart, acts_as_tenant, 1, Ruby, 0, 0, 2012-09-07T16:34:14Z, Easy multi-tenancy for Rails in a shared database setup
flipkart, multitenancy, 0, Ruby, 3, 0, 2012-12-03T12:56:24Z, Tenant gem for supply chain
flipkart, hcatalog, 1, Java, 0, 0, 2013-01-13T07:53:38Z, Mirror of Apache HCatalog
flipkart, padrino-framework, 1, Ruby, 0, 0, 2013-01-22T09:43:37Z, Padrino is a full-stack ruby framework built upon Sinatra.
flipkart, rails, 1, Ruby, 0, 0, 2013-01-29T03:43:54Z, Ruby on Rails
flipkart, thread_safe, 1, Java, 0, 0, 2013-01-29T04:08:40Z, A collection of utilities for thread-safe programming in Ruby.
flipkart, loader, 0, JavaScript, 11, 8, 2013-02-02T04:11:35Z, Distributed Load generation Platform with Server Side Monitoring Capabilities.
flipkart, bundler, 1, Ruby, 0, 0, 2013-02-19T05:32:36Z, Manage your application's gem dependencies with less pain
flipkart, activerecord_use_slave, 1, Ruby, 0, 0, 2013-02-19T10:47:53Z, Switch ActiveRecord connections to a slave database for a given request or block
flipkart, harness, 0, Java, 1, 3, 2013-02-26T14:01:50Z, Harness project - an automation test framework for functional tests
flipkart, metrics, 1, Java, 0, 0, 2013-04-18T10:18:27Z, Capturing JVM- and application-level metrics. So you know what's going on.
flipkart, swagger-codegen, 1, Scala, 0, 0, 2013-05-26T10:09:52Z, swagger-codegen contains a template-driven engine to generate client code in different languages by parsing your Swagger Resource Declaration.
flipkart, swagger-maven-plugin, 1, Java, 0, 1, 2013-05-26T10:10:26Z, A maven build plugin which helps you generate API document during build phase
flipkart, dropwizard, 1, Java, 0, 4, 2013-05-27T12:42:12Z, A damn simple library for building production-ready RESTful web services.
flipkart, azkaban2, 1, Java, 1, 0, 2013-05-31T05:22:37Z, Azkaban scheduler re-written from the ground up.
flipkart, azkaban-plugins, 1, Java, 0, 0, 2013-05-31T05:30:57Z, Common plugins for azkaban2
flipkart, minnal-sample-app, 0, Java, 0, 0, 2013-06-20T13:26:58Z, Contains sample application developed on minnal framework
flipkart, minnal, 1, Java, 0, 2, 2013-06-26T10:28:06Z, Minnal is a REST framework that helps you eliminate boiler plate code and build applications faster
flipkart, phantom, 0, Java, 71, 37, 2013-07-11T05:56:29Z, Phantom is a high performance proxy for accessing distributed services. It is an RPC system with support for different transports and protocols. Phantom is inspired by Twitter Finagle clients and builds on the capabilities of technologies like Netty Unix Domain Sockets Netflix Hystrix and Spring Phantom proxies have been used to serve several hundred million API calls in production deployments at Flipkart
flipkart, activeldap, 1, Ruby, 0, 0, 2013-07-11T16:18:52Z, ActiveLdap provides an object oriented interface to LDAP
flipkart, pig, 1, Java, 0, 0, 2013-07-24T07:20:16Z, Mirror of Apache Pig
flipkart, DTCoreText, 1, Objective-C, 1, 0, 2013-09-02T14:49:33Z, Methods to allow using HTML code with CoreText
flipkart, GraceKelly, 0, Java, 4, 2, 2013-09-03T11:03:18Z, A Best Effort Cache Synchronization Library In Java
flipkart, rest-client, 1, Ruby, 1, 0, 2013-09-27T07:46:21Z, Simple HTTP and REST client for Ruby inspired by microframework syntax for specifying actions
flipkart, HostDB, 0, Perl, 190, 15, 2013-10-30T11:15:21Z, HostDB: a new tool to help manage data center inventory and write applications around it
flipkart, aesop, 0, Java, 26, 8, 2013-11-25T13:35:29Z, A keen Observer of changes that can also relay change events reliably to interested parties Provides useful infrastructure for building Eventually Consistent data sources and systems.
flipkart, aw-reporting, 1, Java, 0, 0, 2013-12-10T08:41:31Z, AdWords Reports to DB
flipkart, fk-affiliate-api-python, 0, Python, 1, 4, 2014-01-17T16:20:23Z, Product and Offers Feed APIs
flipkart, fixit-felix, 0, JavaScript, 0, 0, 2014-01-18T14:41:56Z, Fixit-Felix troubleshooting workshop
flipkart, camus, 1, Java, 0, 0, 2014-01-20T06:55:54Z, 
flipkart, neo4j, 1, Java, 0, 0, 2014-01-21T06:50:58Z, The World's Leading Graph Database
